Last Activity;Account Name;Last Modified Date;Parent Account
;Águas de S. João;01-06-2026;
;Naz Gelatarias Unipessoal, Lda (OLÁ UBBO);27-05-2026;
;Municipio de Vila Nova de Gaia;20-03-2026;
;MEO - Serviços de Comunicações e Multimédia;04-03-2026;
;ACCESS BANK ANGOLA;04-03-2026;
;SEMIC - COMU DE CANILLO;23-01-2026;
;Intermarché Mortágua;06-01-2026;
;Intermarché Montemor-O-Novo;06-01-2026;
;Algardata - CM FARO;15-12-2025;
;BRICO - CARTAXO;22-10-2025;
;EVA - Transportes, SA;08-04-2026;
;Visualforma - Municipio de Vila do Bispo;28-08-2025;
;Wells - Oeiras Parque;15-07-2025;
;UPHILL S.A.;25-05-2026;
;Hospital CUF Arrifana de Sousa - Penafiel;15-04-2025;
;Centro de Saúde CUF Campo de Ourique;01-04-2025;
;LAGAR ALENTEJANO - RESTAURAÇÃO, UNIPESSOAL, LDA;26-06-2025;
;AGUAS DEL PUERTO;14-01-2025;
;ECOVISION-OPTICA;03-01-2025;
;PETROGAL;04-07-2025;
;Farmacia Sanex (Medzed -Av. da Igreja);05-11-2024;
;Micauto Rent a Car;14-10-2024;
;Glintt - Santa Casa da Misericordia Vila do Conde;01-10-2024;
;BRICO_MANGUALDE_ S/ PDV;30-09-2024;
;BRICO_VILA REAL - PDV 05457;30-09-2024;
16-10-2024;Clinicas Smile Up;27-09-2024;
;BRICO_CASTRO VERDE_12026;03-12-2024;
;GLINTT - GLOBAL INTELLIGENT TECHNOLOGIES, S.A.;25-09-2024;
;Floene SA;23-09-2024;
;Clinica Amamentos;17-09-2024;
;WELLS;13-09-2024;
;ESPAES;28-08-2024;
;KINSARI;09-08-2024;
07-10-2024;CM CONTACTO MAGNETICO;08-08-2024;
12-08-2024;LUSÍADAS SA;08-08-2024;
;Medipro;06-08-2024;
05-08-2024;CAIXA GERAL DE APOSENTAÇÕES;21-03-2025;
05-08-2024;BANCO CTT;05-08-2024;
06-08-2024;Hospital Antonio Lopes;06-08-2024;
;Synlab;22-07-2024;
;Gold Energy;15-07-2024;
16-08-2024;DD GOMES;02-08-2024;
;BRICO_BEJA_PDV03271;30-09-2024;
;BRICO_ESTARREJA_PDV11916;30-09-2024;
19-07-2024;Climag;21-05-2024;
;BRICO_FARO_ PDV11880;30-09-2024;
